Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
HP,15s,1.74,15.6,100.0,0,intel uhd,4,ddr4,256,win 10,intel,29632.0,pentium,0
Lenovo,ideapad,1.66,15.6,141.0,0,intel iris xe,16,ddr4,512,win 10,intel,58990.0,i5,0
Asus,vivobook,1.5,14.0,162.0,0,intel iris xe,8,ddr4,512,win 11,intel,62990.0,i5,0
Asus,vivobook,1.5,14.0,157.0,0,intel iris xe,8,ddr4,512,win 11,intel,62990.0,i5,0
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,4,ddr4,256,win 10,intel,26990.0,i3,0
Dell,vostro,2.4,15.6,100.0,0,intel hd 620,4,ddr4,256,win 10,intel,30590.0,i3,0
Lenovo,ideapad,2.19,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,512,win 10,intel,52990.0,i5,3
Asus,vivobook,1.8,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,58990.0,i3,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,48744.0,i5,0
Acer,predator,2.3,15.6,141.0,0,nvidia geforce rtx 3060,16,ddr4,256,win 10,intel,79900.0,i7,6
Asus,X543MA,1.8,15.6,100.0,0,intel integrated,4,ddr4,256,win 10,intel,21990.0,pentium,0
Lenovo,ideapad,1.85,15.6,100.0,0,intel uhd 600,4,ddr4,256,win 10,intel,29990.0,celeron,0
Nokia,purebook,1.1,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,42917.0,i5,0
HP,15s,1.7,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,39299.0,i3,0
Lenovo,ideapad,1.66,15.6,141.0,0,intel iris xe,16,ddr4,512,win 10,intel,60890.0,i5,0
HP,15s,1.7,15.6,141.0,0,amd radeon vega 3,4,ddr4,256,win 10,amd,28999.0,dual core,0
HP,14s,1.43,14.0,157.0,0,intel uhd 620,8,ddr4,512,win 10,intel,49990.0,i5,0
Dell,inspiron,1.96,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,52990.0,quad core,0
Dell,vostro,1.64,14.0,112.0,0,intel uhd,4,ddr4,256,win 10,intel,33990.0,i3,0
HP,15s,1.85,15.6,100.0,0,amd radeon,4,ddr4,256,win 10,amd,27990.0,dual core,0
HP,14s,1.43,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,56990.0,i5,0
MSI,GF63,2.4,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,intel,54990.0,i5,4
Dell,vostro,1.66,14.0,112.0,0,intel uhd,4,ddr4,256,win 10,intel,39990.0,i3,0
Infinix,INBook,1.24,14.0,157.0,0,intel uhd,8,lpddr4x,512,win 11,intel,28190.0,i3,128
HP,15s,1.75,15.6,100.0,0,intel uhd,8,ddr4,512,win 11,intel,34890.0,i3,0
HP,pavilion,2.28,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,256,win 10,intel,74890.0,i5,4
Asus,vivobook,1.6,15.6,141.0,0,nvidia geforce mx230,8,ddr4,512,win 10,intel,50230.0,i5,2
Lenovo,ideapad,1.85,15.6,100.0,0,amd radeon,4,ddr4,256,win 10,amd,25990.0,dual core,0
HP,pavilion,1.41,14.0,157.0,0,intel iris xe,16,ddr4,1024,win 10,intel,78999.0,i7,0
HP,15s,1.76,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,90000.0,quad core,0
Asus,vivobook,1.9,15.6,141.0,0,intel uhd,4,ddr4,256,win 10,intel,36990.0,i3,0
HP,14s,1.51,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,78400.0,i5,0
Lenovo,ideapad,2.2,15.6,100.0,0,no graphics,8,ddr4,512,dos,amd,25990.0,dual core,0
Lenovo,ideapad,1.65,15.6,141.0,0,intel uhd,8,ddr4,512,win 10,intel,35500.0,i3,0
Acer,aspire,1.65,15.6,141.0,0,intel iris xe,8,ddr4,512,win 10,intel,54999.0,i5,0
Lenovo,ideapad,1.39,14.0,157.0,0,amd radeon,8,ddr4,512,win 10,amd,48990.0,octa core,0
HP,15,1.77,15.6,141.0,0,intel hd 620,8,ddr4,512,win 10,intel,37990.0,i3,0
HP,pavilion,2.25,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,256,win 10,intel,121999.0,i5,3
Asus,tuf,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,1024,win 11,amd,65990.0,ryzen 5,4
Infinix,INBook,1.24,14.0,157.0,0,intel iris xe,8,lpddr4x,512,win 11,intel,27990.0,i3,0
Apple,macbook,1.29,13.3,227.0,0,apple m1 integrated,16,ddr4,256,mac os,apple,112900.0,m1,0
Acer,nitro,2.3,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,amd,54990.0,quad core,4
Lenovo,ideapad,1.6,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,42490.0,i3,0
Apple,macbook,1.29,13.3,227.0,0,intel iris plus,8,lpddr4x,256,mac os,intel,83990.0,i3,0
Acer,nitro,2.4,15.6,141.0,0,nvidia geforce rtx 3050,8,ddr4,256,win 10,intel,74699.0,i5,4
HP,15,1.8,15.6,141.0,0,amd radeon vega 3,4,ddr4,256,win 10,amd,33256.0,dual core,0
HP,15s,1.76,15.6,100.0,0,amd radeon vega,4,ddr4,256,win 10,amd,30490.0,dual core,0
Lenovo,ideapad,1.85,15.6,141.0,0,intel uhd,8,ddr4,256,win 10,intel,36490.0,i3,0
HP,245,2.1,14.0,112.0,0,amd radeon r4,4,ddr4,256,dos,amd,21200.0,dual core,0
Asus,vivobook,1.8,15.6,100.0,0,intel uhd,8,ddr4,512,win 11,intel,26990.0,celeron,0
Acer,extensa,1.7,15.6,141.0,0,intel uhd,8,lpddr5,256,win 11,intel,31490.0,i3,0
Acer,extensa,1.7,15.6,141.0,0,intel uhd,8,lpddr5,512,win 11,intel,33999.0,i3,0
HP,15,1.77,15.6,141.0,0,intel hd 620,8,ddr4,512,win 10,intel,32190.0,i3,0
Lenovo,ideapad,2.5,15.6,141.0,0,nvidia geforce gtx 1650 ti,8,ddr4,256,win 10,intel,74590.0,i5,4
Lenovo,ideapad,2.2,15.6,141.0,0,intel hd 620,8,ddr4,512,dos,intel,29990.0,i3,0
Acer,nitro,2.4,15.6,141.0,0,nvidia geforce rtx 3050,16,ddr4,256,win 10,intel,89999.0,i5,4
Lenovo,ideapad,1.85,15.6,100.0,0,amd radeon,4,ddr4,256,win 10,amd,27770.0,dual core,0
Avita,essential,1.37,14.0,157.0,0,intel uhd 600,4,lpddr4,128,win 10,intel,23500.0,celeron,0
HP,14s,1.46,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,42990.0,i3,0
Acer,aspire,1.5,14.0,157.0,0,intel uhd,4,ddr4,512,win 10,intel,37990.0,i3,0
HP,245,1.8,14.0,112.0,0,amd radeon r4,4,ddr3,256,dos,amd,21399.0,quad core,0
Acer,aspire,2.4,15.6,100.0,0,intel hd 505,4,ddr3,256,linux,intel,24780.0,pentium,0
Asus,vivobook,1.5,14.0,157.0,0,intel iris x,8,ddr4,512,win 10,intel,59990.0,i5,0
Lenovo,yoga,1.49,14.0,162.0,1,intel arc,16,lpddr5x,512,win 11,intel,94990.0,ultra 5,0
MSI,cyborg,1.6,14.0,162.0,0,nvidia geforce rtx 2050,16,ddr5,512,win 11,intel,59990.0,i5,4
Asus,rog,2.48,15.6,141.0,0,nvidia geforce rtx 2070 super with max-q design,32,ddr4,1024,win 10,intel,279990.0,i7,8
Asus,vivobook,1.4,14.0,243.0,0,nvidia geforce rtx 3050,16,ddr4,512,win 10,amd,82990.0,octa core,4
Asus,rog,1.3,13.4,338.0,0,nvidia geforce rtx 1650,32,lpddr4x,1024,win 10,amd,94990.0,octa core,4
MSI,raider,3.1,17.3,175.0,0,nvidia geforce rtx 4090,64,ddr5,2024,win 11,intel,364990.0,i9,16
Dell,alienware,2.72,16.0,189.0,0,nvidia geforce rtx 4090,32,lpddr5,2024,win 11,intel,314990.0,i9,16
Gigabyte,G5,2.08,15.6,141.0,0,nvidia geforce rtx 4050,8,ddr4,512,win 11,intel,69900.0,i5,6
HP,envy,1.6,15.6,141.0,1,intel iris xe,16,ddr4,512,win 11,intel,79000.0,i5,0
HP,pavilion,1.51,14.0,157.0,1,intel iris xe,16,ddr4,512,win 11,intel,88530.0,i7,0
Lenovo,yoga,1.45,14.5,250.0,1,nvidia geforce rtx 3050,16,lpddr5,1024,win 11,intel,139990.0,i7,4
Asus,zenbook,1.89,15.6,282.0,1,nvidia geforce gtx 1050ti,16,ddr4,1024,win 10,intel,157999.0,i7,4
Dell,inspiron,1.75,14.0,162.0,1,intel iris xe,16,ddr5,512,win 11,intel,83990.0,i5,0
Thomson,neo,1.56,15.6,141.0,0,intel uhd,4,lpddr4,128,win 11,intel,16990.0,celeron,0
Asus,zenbook,2.34,15.6,282.0,0,intel uhd,32,ddr4,1024,win 10,intel,239990.0,i7,8
Apple,macbook,1.6,14.2,254.0,0,no graphics,24,ddr5,512,mac os,apple,191990.0,m4 pro,0
Asus,rog,2.35,15.6,141.0,0,nvidia geforce rtx 2070 super,32,ddr4,1024,win 10,intel,159990.0,i9,8
HP,15,1.59,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,34490.0,i3,0
Asus,tuf,2.2,15.6,141.0,0,nvidia geforce rtx 4050,16,ddr4,1024,win 11,amd,119990.0,octa core,6
Lenovo,legion,2.8,16.0,189.0,0,nvidia geforce rtx 4080,32,ddr5,1024,win 11,intel,275190.0,i9,12
Dell,g15,2.81,15.6,141.0,0,nvidia geforce rtx 4060,16,ddr5,1024,win 11,intel,148620.0,i9,8
Lenovo,thinkbook,1.7,15.6,141.0,0,intel iris xe,16,ddr4,512,win 11,intel,67999.0,i7,0
Samsung,galaxy,1.56,16.0,212.0,1,intel arc,16,lpddr5x,512,win 11,intel,136990.0,ultra 5,0
MSI,GE73,3.1,17.3,127.0,0,nvidia geforce gtx 1070,16,ddr4,512,win 10,intel,179990.0,i7,8
HP,pavilion,2.18,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,512,win 10,intel,70990.0,i5,2
HP,pavilion,1.54,14.0,157.0,0,nvidia geforce gt 940mx,8,ddr4,128,win 10,intel,78990.0,i7,4
